5/14/2026|What is one thing you wish to forget today?|evrything
5/14/2026|How long have you procrastinated? (then get the thing done! >:[ )|i actually haven't, it's a miracle
5/14/2026|If you had to forget everything else, what is one thing you'd choose to remember from today?|nothing
5/14/2026|What was your favorite thing to do today?|hang out
5/14/2026|How long have you procrastinated? (then get the thing done! >:[ )|always
5/14/2026|Who were you with today?|no one :/
5/14/2026|... *ominous noises*|:D
5/15/2026|What were your biggest win today?|life
5/15/2026|What were your biggest win today?|i said life
5/15/2026|What were your biggest challenge today?|also life
5/15/2026|If you had to forget everything else, what is one thing you'd choose to remember from today?|waking up
5/15/2026|What is something that made you happy today?|reading
5/15/2026|How long have you procrastinated? (then get the thing done! >:[ )|too long
5/15/2026|If you could transport to the past at one time today, when would you go?|a minute before my alarm
5/15/2026|If you could transport to the past at one time today, when would you go?|i said a minute before my alarm
5/15/2026|How long have you procrastinated? (then get the thing done! >:[ )|way too long
5/15/2026|What is one thing you wish to forget today?|how to breath
5/15/2026|What is one thing you wish to forget today?|waking up
5/15/2026|If you had to forget everything else, what is one thing you'd choose to remember from today?|how it felt when i slit your throat
5/15/2026|What were your biggest challenge today?|living
5/15/2026|How long have you procrastinated? (then get the thing done! >:[ )|way too long
5/15/2026|What is one thing you wish to forget today?|how to breath
5/15/2026|What is one thing you wish to forget today?|waking up
5/15/2026|If you had to forget everything else, what is one thing you'd choose to remember from today?|how it felt when i slit your throat
5/15/2026|What were your biggest challenge today?|living
5/15/2026|Who were you with today?|my stuffies
5/15/2026|If you had to forget everything else, what is one thing you'd choose to remember from today?|the fact that markiplier crashed out at a videogame
5/18/2026|What is the best thing you saw today?|the wall
5/18/2026|Who were you with today?|josh
5/18/2026|What are you grateful for?|life
5/18/2026|Who were you with today?|i said josh
5/18/2026|Who were you with today?|i literally just said josh
